id,county,state,concatenate,Estimate!!Total
0500000US12086,Miami-Dade,Florida,Miami-DadeFlorida,2761581
0500000US12001,Alachua,Florida,AlachuaFlorida,269956
0500000US12071,Lee,Florida,LeeFlorida,754610
0500000US12105,Polk,Florida,PolkFlorida,708009
0500000US12091,Okaloosa,Florida,OkaloosaFlorida,207269
0500000US12117,Seminole,Florida,SeminoleFlorida,467832
0500000US12095,Orange,Florida,OrangeFlorida,1380645
0500000US12109,St. Johns,Florida,St. JohnsFlorida,254261
0500000US12111,St. Lucie,Florida,St. LucieFlorida,321128
0500000US12031,Duval,Florida,DuvalFlorida,950181
0500000US12069,Lake,Florida,LakeFlorida,356495
0500000US12127,Volusia,Florida,VolusiaFlorida,547538
0500000US13117,Forsyth,Georgia,ForsythGeorgia,236612
0500000US13121,Fulton,Georgia,FultonGeorgia,1050114
0500000US13073,Columbia,Georgia,ColumbiaGeorgia,154291
0500000US13095,Dougherty,Georgia,DoughertyGeorgia,91243
0500000US13151,Henry,Georgia,HenryGeorgia,230220
0500000US13089,DeKalb,Georgia,DeKalbGeorgia,756558
0500000US13127,Glynn,Georgia,GlynnGeorgia,85219
0500000US13051,Chatham,Georgia,ChathamGeorgia,289195
0500000US13113,Fayette,Georgia,FayetteGeorgia,113459
0500000US13313,Whitfield,Georgia,WhitfieldGeorgia,104062
0500000US13135,Gwinnett,Georgia,GwinnettGeorgia,927781
0500000US13247,Rockdale,Georgia,RockdaleGeorgia,90594
0500000US13045,Carroll,Georgia,CarrollGeorgia,118121
0500000US13139,Hall,Georgia,HallGeorgia,202148
0500000US13021,Bibb,Georgia,BibbGeorgia,153095
0500000US13031,Bulloch,Georgia,BullochGeorgia,77296
0500000US13115,Floyd,Georgia,FloydGeorgia,97927
0500000US13217,Newton,Georgia,NewtonGeorgia,109541
0500000US13015,Bartow,Georgia,BartowGeorgia,106408
0500000US13013,Barrow,Georgia,BarrowGeorgia,80809
0500000US13157,Jackson,Georgia,JacksonGeorgia,70422
0500000US13245,Richmond,Georgia,RichmondGeorgia,201554
0500000US13285,Troup,Georgia,TroupGeorgia,70034
0500000US13063,Clayton,Georgia,ClaytonGeorgia,289615
0500000US13223,Paulding,Georgia,PauldingGeorgia,164044
0500000US13059,Clarke,Georgia,ClarkeGeorgia,127330
0500000US13097,Douglas,Georgia,DouglasGeorgia,145331
0500000US13047,Catoosa,Georgia,CatoosaGeorgia,67420
0500000US13297,Walton,Georgia,WaltonGeorgia,93503
0500000US13067,Cobb,Georgia,CobbGeorgia,756865
0500000US13057,Cherokee,Georgia,CherokeeGeorgia,254149
0500000US13215,Muscogee,Georgia,MuscogeeGeorgia,194160
0500000US13185,Lowndes,Georgia,LowndesGeorgia,116321
0500000US13255,Spalding,Georgia,SpaldingGeorgia,66100
0500000US13295,Walker,Georgia,WalkerGeorgia,69410
0500000US13153,Houston,Georgia,HoustonGeorgia,155469
0500000US13077,Coweta,Georgia,CowetaGeorgia,145864
0500000US23019,Penobscot,Maine,PenobscotMaine,151096
0500000US23005,Cumberland,Maine,CumberlandMaine,293557
0500000US23001,Androscoggin,Maine,AndroscogginMaine,107679
0500000US23031,York,Maine,YorkMaine,206229
0500000US23003,Aroostook,Maine,AroostookMaine,67111
0500000US23011,Kennebec,Maine,KennebecMaine,122083
0500000US24025,Harford,Maryland,HarfordMaryland,253956
0500000US24015,Cecil,Maryland,CecilMaryland,102826
0500000US24037,St. Mary's,Maryland,St. Mary'sMaryland,112664
0500000US24009,Calvert,Maryland,CalvertMaryland,92003
0500000US24031,Montgomery,Maryland,MontgomeryMaryland,1052567
0500000US24043,Washington,Maryland,WashingtonMaryland,150926
0500000US24001,Allegany,Maryland,AlleganyMaryland,70975
0500000US24027,Howard,Maryland,HowardMaryland,323196
0500000US24003,Anne Arundel,Maryland,Anne ArundelMaryland,576031
0500000US24013,Carroll,Maryland,CarrollMaryland,168429
0500000US24045,Wicomico,Maryland,WicomicoMaryland,103195
0500000US24017,Charles,Maryland,CharlesMaryland,161503
0500000US24005,Baltimore,Maryland,BaltimoreMaryland,828431
0500000US24510,Baltimore city,Maryland,Baltimore cityMaryland,602495
0500000US24021,Frederick,Maryland,FrederickMaryland,255648
0500000US24033,Prince George's,Maryland,Prince George'sMaryland,909308
0500000US25003,Berkshire,Massachusetts,BerkshireMassachusetts,126348
0500000US25017,Middlesex,Massachusetts,MiddlesexMassachusetts,1614714
0500000US25015,Hampshire,Massachusetts,HampshireMassachusetts,161355
0500000US25001,Barnstable,Massachusetts,BarnstableMassachusetts,213413
0500000US25011,Franklin,Massachusetts,FranklinMassachusetts,70963
0500000US25013,Hampden,Massachusetts,HampdenMassachusetts,470406
0500000US25009,Essex,Massachusetts,EssexMassachusetts,790638
0500000US25021,Norfolk,Massachusetts,NorfolkMassachusetts,705388
0500000US25027,Worcester,Massachusetts,WorcesterMassachusetts,830839
0500000US25005,Bristol,Massachusetts,BristolMassachusetts,564022
0500000US25023,Plymouth,Massachusetts,PlymouthMassachusetts,518132
0500000US25025,Suffolk,Massachusetts,SuffolkMassachusetts,807252
0500000US34007,Camden,New Jersey,CamdenNew Jersey,507078
0500000US34005,Burlington,New Jersey,BurlingtonNew Jersey,445384
0500000US34017,Hudson,New Jersey,HudsonNew Jersey,676061
0500000US34035,Somerset,New Jersey,SomersetNew Jersey,331164
0500000US34025,Monmouth,New Jersey,MonmouthNew Jersey,621354
0500000US34013,Essex,New Jersey,EssexNew Jersey,799767
0500000US34019,Hunterdon,New Jersey,HunterdonNew Jersey,124714
0500000US34009,Cape May,New Jersey,Cape MayNew Jersey,92560
0500000US34001,Atlantic,New Jersey,AtlanticNew Jersey,265429
0500000US34023,Middlesex,New Jersey,MiddlesexNew Jersey,829685
0500000US34037,Sussex,New Jersey,SussexNew Jersey,140799
0500000US34033,Salem,New Jersey,SalemNew Jersey,62607
0500000US34021,Mercer,New Jersey,MercerNew Jersey,369811
0500000US34031,Passaic,New Jersey,PassaicNew Jersey,503310
0500000US34015,Gloucester,New Jersey,GloucesterNew Jersey,291408
0500000US34029,Ocean,New Jersey,OceanNew Jersey,601651
0500000US34011,Cumberland,New Jersey,CumberlandNew Jersey,150972
0500000US34039,Union,New Jersey,UnionNew Jersey,558067
0500000US34027,Morris,New Jersey,MorrisNew Jersey,494228
0500000US34003,Bergen,New Jersey,BergenNew Jersey,936692
0500000US34041,Warren,New Jersey,WarrenNew Jersey,105779
0500000US36059,Nassau,New York,NassauNew York,1358343
0500000US36071,Orange,New York,OrangeNew York,381951
0500000US36087,Rockland,New York,RocklandNew York,325695
0500000US36069,Ontario,New York,OntarioNew York,109864
0500000US36015,Chemung,New York,ChemungNew York,84254
0500000US36045,Jefferson,New York,JeffersonNew York,111755
0500000US36029,Erie,New York,ErieNew York,919719
0500000US36111,Ulster,New York,UlsterNew York,178599
0500000US36119,Westchester,New York,WestchesterNew York,967612
0500000US36113,Warren,New York,WarrenNew York,64265
0500000US36063,Niagara,New York,NiagaraNew York,210433
0500000US36079,Putnam,New York,PutnamNew York,98892
0500000US36051,Livingston,New York,LivingstonNew York,63227
0500000US36103,Suffolk,New York,SuffolkNew York,1481093
0500000US36011,Cayuga,New York,CayugaNew York,77145
0500000US36047,Kings,New York,KingsNew York,2582830
0500000US36067,Onondaga,New York,OnondagaNew York,461809
0500000US36001,Albany,New York,AlbanyNew York,307117
0500000US36053,Madison,New York,MadisonNew York,70795
0500000US36081,Queens,New York,QueensNew York,2278906
0500000US36117,Wayne,New York,WayneNew York,90064
0500000US36005,Bronx,New York,BronxNew York,1432132
0500000US36089,St. Lawrence,New York,St. LawrenceNew York,108047
0500000US36085,Richmond,New York,RichmondNew York,476179
0500000US36093,Schenectady,New York,SchenectadyNew York,155350
0500000US36009,Cattaraugus,New York,CattaraugusNew York,76840
0500000US36055,Monroe,New York,MonroeNew York,742474
0500000US36105,Sullivan,New York,SullivanNew York,75498
0500000US36007,Broome,New York,BroomeNew York,191659
0500000US36027,Dutchess,New York,DutchessNew York,293718
0500000US36101,Steuben,New York,SteubenNew York,95796
0500000US36083,Rensselaer,New York,RensselaerNew York,159442
0500000US36013,Chautauqua,New York,ChautauquaNew York,127939
0500000US36019,Clinton,New York,ClintonNew York,80695
0500000US36061,New York,New York,New YorkNew York,1628701
