id,county,state,concat,Estimate!!Total!!Total population,Estimate!!Male!!Total population,Estimate!!Female!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US06041,Marin,California,MarinCalifornia,259666,127299,132367,11504,12694,17714,14667,12234,10301,11314,13622,16632,21104,20323,19092,20252,18825,14871,11099,7072,6346
0500000US09011,New London,Connecticut,New LondonConnecticut,266784,133585,133199,12752,12786,16636,15956,19144,18865,16680,13409,15635,16491,20206,19971,19939,14983,12368,9005,5843,6115
0500000US09005,Litchfield,Connecticut,LitchfieldConnecticut,181111,89654,91457,7473,9487,9254,10331,10084,9388,8833,10890,8733,12222,14467,15595,16457,12777,9548,7068,4144,4360
0500000US09007,Middlesex,Connecticut,MiddlesexConnecticut,162682,78396,84286,6269,9482,7282,9832,10690,9019,9526,10008,8139,10993,12625,12571,13804,10424,8088,5483,4108,4339
0500000US09003,Hartford,Connecticut,HartfordConnecticut,892697,434366,458331,47757,48336,56621,58229,57215,58951,59260,57082,53001,57238,62455,64672,59206,45634,38948,27912,17646,22534
0500000US09009,New Haven,Connecticut,New HavenConnecticut,857620,412943,444677,43987,43761,53644,58472,58809,58645,56453,49754,50741,54969,59755,59073,60768,45951,37199,27022,16007,22610
0500000US09013,Tolland,Connecticut,TollandConnecticut,150921,75123,75798,6271,6445,8346,14670,16266,8307,11225,8537,6951,9110,9971,10543,9998,7860,6220,4565,2489,3147
0500000US09015,Windham,Connecticut,WindhamConnecticut,117027,56804,60223,4941,5999,7137,9178,7718,7082,8027,6736,7634,7445,8458,8876,8870,6057,4980,3455,1733,2701
0500000US09001,Fairfield,Connecticut,FairfieldConnecticut,943823,459662,484161,51774,55583,65106,65626,59920,52731,54899,57542,59781,66400,71837,69219,63581,43371,38652,27938,17973,21890
0500000US12017,Citrus,Florida,CitrusFlorida,147929,72104,75825,5753,5928,6220,6485,5444,6515,5665,5263,6164,7418,8732,10063,14447,16405,13054,10321,7242,6810
