id,county,state,concatenate,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone
0500000US12111,St. Lucie,Florida,St. LucieFlorida,232424,64874,0,6057,376,6968
0500000US12031,Duval,Florida,DuvalFlorida,566932,278340,3413,44256,409,21729
0500000US12069,Lake,Florida,LakeFlorida,293920,41098,1760,6928,155,3276
0500000US12127,Volusia,Florida,VolusiaFlorida,441141,60845,2441,10098,120,24373
0500000US13117,Forsyth,Georgia,ForsythGeorgia,183956,9944,52,34047,279,3321
0500000US13121,Fulton,Georgia,FultonGeorgia,467999,457063,2647,78713,478,19988
0500000US13073,Columbia,Georgia,ColumbiaGeorgia,112921,26416,0,7116,0,1987
0500000US13095,Dougherty,Georgia,DoughertyGeorgia,22804,63283,494,372,128,1757
0500000US13151,Henry,Georgia,HenryGeorgia,105190,104658,170,7868,0,3307
0500000US13089,DeKalb,Georgia,DeKalbGeorgia,265235,403014,6959,47716,2868,7938
0500000US13127,Glynn,Georgia,GlynnGeorgia,null,null,null,null,null,null
0500000US13051,Chatham,Georgia,ChathamGeorgia,151743,113883,634,7493,1688,3631
0500000US13113,Fayette,Georgia,FayetteGeorgia,74889,27242,315,5382,0,2912
0500000US13313,Whitfield,Georgia,WhitfieldGeorgia,null,null,null,null,null,null
0500000US13135,Gwinnett,Georgia,GwinnettGeorgia,431934,259173,6573,111728,45,89869
0500000US13247,Rockdale,Georgia,RockdaleGeorgia,33589,52466,41,1667,0,1273
0500000US13045,Carroll,Georgia,CarrollGeorgia,86164,22574,1960,312,0,3753
0500000US13139,Hall,Georgia,HallGeorgia,174232,13415,576,3392,0,5217
0500000US13021,Bibb,Georgia,BibbGeorgia,61370,81723,188,3249,144,1858
0500000US13031,Bulloch,Georgia,BullochGeorgia,49991,20136,0,1108,1161,352
0500000US13115,Floyd,Georgia,FloydGeorgia,78436,13648,299,1807,0,1338
0500000US13217,Newton,Georgia,NewtonGeorgia,53664,50221,0,1478,0,1788
0500000US13015,Bartow,Georgia,BartowGeorgia,89990,11734,198,1341,0,1114
0500000US13013,Barrow,Georgia,BarrowGeorgia,63590,9937,218,3172,60,2402
0500000US13157,Jackson,Georgia,JacksonGeorgia,61209,4893,19,1062,21,1415
0500000US13245,Richmond,Georgia,RichmondGeorgia,73586,113773,595,4377,118,2687
0500000US13285,Troup,Georgia,TroupGeorgia,40980,26220,0,1622,0,817
0500000US13063,Clayton,Georgia,ClaytonGeorgia,44414,202746,308,14865,368,17176
0500000US13223,Paulding,Georgia,PauldingGeorgia,null,null,null,null,null,null
0500000US13059,Clarke,Georgia,ClarkeGeorgia,80444,35535,311,4947,166,2254
0500000US13097,Douglas,Georgia,DouglasGeorgia,65772,69703,0,2431,0,2811
0500000US13047,Catoosa,Georgia,CatoosaGeorgia,61292,2750,887,905,0,0
0500000US13297,Walton,Georgia,WaltonGeorgia,71248,17381,53,1276,0,2038
0500000US13067,Cobb,Georgia,CobbGeorgia,437149,208527,1875,43013,1444,40060
0500000US13057,Cherokee,Georgia,CherokeeGeorgia,217980,16274,826,4850,618,6407
0500000US13215,Muscogee,Georgia,MuscogeeGeorgia,83257,91077,107,4211,224,3745
0500000US13185,Lowndes,Georgia,LowndesGeorgia,65868,42377,292,1882,0,2526
0500000US13255,Spalding,Georgia,SpaldingGeorgia,40759,22394,213,719,0,690
0500000US13295,Walker,Georgia,WalkerGeorgia,null,null,null,null,null,null
0500000US13153,Houston,Georgia,HoustonGeorgia,91416,51094,640,5559,70,2932
0500000US13077,Coweta,Georgia,CowetaGeorgia,111427,25081,1428,3242,0,1563
0500000US23019,Penobscot,Maine,PenobscotMaine,143056,1690,2037,1688,0,255
0500000US23005,Cumberland,Maine,CumberlandMaine,268658,9041,377,6951,109,1320
0500000US23001,Androscoggin,Maine,AndroscogginMaine,98471,3184,66,757,0,93
0500000US23031,York,Maine,YorkMaine,196797,1954,1121,2565,0,556
0500000US23003,Aroostook,Maine,AroostookMaine,63699,279,1397,219,10,0
0500000US23011,Kennebec,Maine,KennebecMaine,116802,491,158,1389,335,180
0500000US24025,Harford,Maryland,HarfordMaryland,198408,35479,490,6519,180,3419
0500000US24015,Cecil,Maryland,CecilMaryland,90629,7325,33,1403,0,556
0500000US24037,St. Mary's,Maryland,St. Mary'sMaryland,86881,17155,89,2693,0,1804
0500000US24009,Calvert,Maryland,CalvertMaryland,74058,11823,0,2346,0,1062
0500000US24031,Montgomery,Maryland,MontgomeryMaryland,542829,196316,2818,152890,391,103255
0500000US24043,Washington,Maryland,WashingtonMaryland,124032,16959,184,2931,843,921
0500000US24001,Allegany,Maryland,AlleganyMaryland,62148,6469,107,308,7,312
0500000US24027,Howard,Maryland,HowardMaryland,181707,64624,657,59189,130,4615
0500000US24003,Anne Arundel,Maryland,Anne ArundelMaryland,410193,96455,952,22370,79,18814
0500000US24013,Carroll,Maryland,CarrollMaryland,153478,5767,186,3359,27,1415
0500000US24045,Wicomico,Maryland,WicomicoMaryland,67846,27727,195,3277,0,1302
0500000US24017,Charles,Maryland,CharlesMaryland,68969,77394,1079,5200,0,1162
0500000US24005,Baltimore,Maryland,BaltimoreMaryland,490687,240297,1833,50320,4785,12999
0500000US24510,Baltimore city,Maryland,Baltimore cityMaryland,183276,371664,1600,15490,61,13343
0500000US24021,Frederick,Maryland,FrederickMaryland,207110,26200,304,10441,260,2655
0500000US24033,Prince George's,Maryland,Prince George'sMaryland,142297,566790,2331,37029,187,131686
0500000US25003,Berkshire,Massachusetts,BerkshireMassachusetts,113854,3940,374,2133,189,2232
0500000US25017,Middlesex,Massachusetts,MiddlesexMassachusetts,1226390,87875,4164,198986,1448,42028
0500000US25015,Hampshire,Massachusetts,HampshireMassachusetts,140335,4378,417,9251,57,1559
0500000US25001,Barnstable,Massachusetts,BarnstableMassachusetts,195181,8036,1538,3229,95,2363
0500000US25011,Franklin,Massachusetts,FranklinMassachusetts,65352,1107,276,1143,0,1639
0500000US25013,Hampden,Massachusetts,HampdenMassachusetts,382653,44607,1082,11656,0,18041
0500000US25009,Essex,Massachusetts,EssexMassachusetts,612629,35405,1188,28928,0,90522
0500000US25021,Norfolk,Massachusetts,NorfolkMassachusetts,539996,53112,1209,83337,75,11827
0500000US25027,Worcester,Massachusetts,WorcesterMassachusetts,689588,44256,1371,41100,561,25388
0500000US25005,Bristol,Massachusetts,BristolMassachusetts,473728,25062,753,13053,127,35227
0500000US25023,Plymouth,Massachusetts,PlymouthMassachusetts,428704,51695,1136,7949,58,15087
0500000US25025,Suffolk,Massachusetts,SuffolkMassachusetts,443247,175761,2498,71303,165,57053
0500000US34007,Camden,New Jersey,CamdenNew Jersey,311840,102304,609,30542,63,45598
0500000US34005,Burlington,New Jersey,BurlingtonNew Jersey,317611,76289,347,20861,603,12067
0500000US34017,Hudson,New Jersey,HudsonNew Jersey,359699,82145,3008,108472,0,96067
0500000US34035,Somerset,New Jersey,SomersetNew Jersey,220871,32082,500,61353,0,6981
0500000US34025,Monmouth,New Jersey,MonmouthNew Jersey,519365,46143,495,34085,92,8781
0500000US34013,Essex,New Jersey,EssexNew Jersey,327776,318855,1076,44447,301,88300
0500000US34019,Hunterdon,New Jersey,HunterdonNew Jersey,112770,3680,0,5446,126,393
0500000US34009,Cape May,New Jersey,Cape MayNew Jersey,82013,3564,16,1088,0,2692
0500000US34001,Atlantic,New Jersey,AtlanticNew Jersey,173409,37050,557,21421,255,22107
0500000US34023,Middlesex,New Jersey,MiddlesexNew Jersey,468466,84157,2911,202159,616,44799
0500000US34037,Sussex,New Jersey,SussexNew Jersey,131040,3364,88,3090,66,999
0500000US34033,Salem,New Jersey,SalemNew Jersey,49612,9394,346,450,0,1832
0500000US34021,Mercer,New Jersey,MercerNew Jersey,226971,75902,630,41990,111,16414
0500000US34031,Passaic,New Jersey,PassaicNew Jersey,314282,56572,754,27104,301,92278
0500000US34015,Gloucester,New Jersey,GloucesterNew Jersey,238703,29877,508,9763,0,4510
0500000US34029,Ocean,New Jersey,OceanNew Jersey,545981,19746,827,11806,0,13320
